,high,low,lambda_start,lambda_end,frequency_factor,total
005-010,855000,85500,1.0,1.0,0.0002899238024417877,633471.0
010-020,120000,12000,1.1,2.0,0.007791842364264002,20631.0
020-030,18000,1800,1.2,3.0420242514143867,0.05530066851305319,2229.0
030-040,5000,500,1.3,4.1005225361292705,0.03822349681544254,2565.0
040-050,3100,310,1.4,5.169863043364486,0.12762669221303805,591.0
050-060,2500,250,1.5,6.247338784029768,0.08992752926778788,642.0
060-070,2000,200,1.6,7.331342210832808,0.1558020257501407,280.0
070-080,1500,150,1.7,8.420804344493028,0.21509480388568253,177.0
080-090,1500,150,1.8,9.51496145962688,0.14953405531608446,198.0
090-100,1200,120,1.9,10.613239997045483,0.021214997587223585,1180.0
100-200,2700,270,2.0,11.715193052376065,0.03955498661732493,567.0
200-300,270,27,2.1,12.820462395675818,0.4197616480197246,32.0
300-500,80,8,2.2,13.928754338524172,0.21997422391548246,61.0
